"NVariables","Variables","Profit","Accuracy","NumBets","TrainingDataSize","Threshold"
1,"MFTAGt",-647,0.5296918767507,6,"Min",2.5
1,"MFTHGt",-171,0.546205357142857,6,"Min",2.5
1,"MFTAGm",-158,0.530532212885154,6,"Min",2.5
1,"MFTHGm",-520,0.537254901960784,6,"Min",2.5
1,"OddO2.5",-2376,0.467183742183742,6,"Min",2.5
2,"MFTAGt , MFTHGt",-416,0.561624649859944,6,"Min",2.5
2,"MFTAGt , MFTAGm",1320,0.607247899159664,6,"Min",2.5
2,"MFTAGt , MFTHGm",-52.0000000000002,0.57093837535014,6,"Min",2.5
2,"MFTAGt , OddO2.5",-1550,0.500280112044818,6,"Min",2.5
2,"MFTHGt , MFTAGm",1441,0.615295815295815,6,"Min",2.5
2,"MFTHGt , MFTHGm",790,0.598669467787115,6,"Min",2.5
2,"MFTHGt , OddO2.5",-1755,0.520923520923521,6,"Min",2.5
2,"MFTAGm , MFTHGm",-793,0.546988795518207,6,"Min",2.5
2,"MFTAGm , OddO2.5",-334,0.547443977591036,6,"Min",2.5
2,"MFTHGm , OddO2.5",-1740,0.50640756302521,6,"Min",2.5
3,"MFTAGt , MFTHGt , MFTAGm",1170,0.599089635854342,6,"Min",2.5
3,"MFTAGt , MFTHGt , MFTHGm",797,0.606640989729225,6,"Min",2.5
3,"MFTAGt , MFTHGt , OddO2.5",-457,0.560294117647059,6,"Min",2.5
3,"MFTAGt , MFTAGm , MFTHGm",389,0.599350649350649,6,"Min",2.5
3,"MFTAGt , MFTAGm , OddO2.5",172,0.597303921568627,6,"Min",2.5
3,"MFTAGt , MFTHGm , OddO2.5",-672.000000000001,0.519701213818861,6,"Min",2.5
3,"MFTHGt , MFTAGm , MFTHGm",834,0.599019607843137,6,"Min",2.5
3,"MFTHGt , MFTAGm , OddO2.5",756,0.571848739495798,6,"Min",2.5
3,"MFTHGt , MFTHGm , OddO2.5",728,0.59625350140056,6,"Min",2.5
3,"MFTAGm , MFTHGm , OddO2.5",-511,0.564775910364146,6,"Min",2.5
4,"MFTAGt , MFTHGt , MFTAGm , MFTHGm",1528,0.618073593073593,6,"Min",2.5
