"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate"
"Min","MFTAGm","Low",-694.666666666667,0.489688552188552
"Min","MFTAGm","Max",188,0.716666666666667
"Min","MFTAGm","Med",-77.6666666666666,0.551831501831502
"Min","MFTAGm","Min",-840.666666666667,0.527269345238095
"Min","MFTAGm , MFTHGm","Low",-822,0.501223544973545
"Min","MFTAGm , MFTHGm","Max",178.333333333333,0.705555555555556
"Min","MFTAGm , MFTHGm","Med",-15.3333333333333,0.549263038548753
"Min","MFTAGm , MFTHGm","Min",-1198,0.531883075810969
"Min","MFTAGm , MFTHGm , OddO2.5","Low",-1217,0.498542816885208
"Min","MFTAGm , MFTHGm , OddO2.5","Max",-17.3333333333334,0.570701058201058
"Min","MFTAGm , MFTHGm , OddO2.5","Med",41.3333333333333,0.534863945578231
"Min","MFTAGm , MFTHGm , OddO2.5","Min",-2199,0.494065656565657
"Min","MFTAGm , OddO2.5","Low",-1251,0.487290564373898
"Min","MFTAGm , OddO2.5","Max",277.333333333333,0.637169312169312
"Min","MFTAGm , OddO2.5","Med",183,0.535856009070295
"Min","MFTAGm , OddO2.5","Min",-2092.33333333333,0.486118892001245
"Min","MFTAGt","Low",-321,0.517436945538449
"Min","MFTAGt","Max",42.6666666666667,0.545833333333333
"Min","MFTAGt","Med",149.333333333333,0.573931623931624
"Min","MFTAGt","Min",-832.666666666667,0.465778607739392
"Min","MFTAGt , MFTAGm","Low",-735.333333333333,0.479783950617284
"Min","MFTAGt , MFTAGm","Max",84.6666666666667,0.607837301587302
"Min","MFTAGt , MFTAGm","Med",14,0.520975056689342
"Min","MFTAGt , MFTAGm","Min",-1160.66666666667,0.506671987791532
"Min","MFTAGt , MFTAGm , MFTHGm","Low",-1170.66666666667,0.528648589065256
"Min","MFTAGt , MFTAGm , MFTHGm","Max",136.333333333333,0.679563492063492
"Min","MFTAGt , MFTAGm , MFTHGm","Med",-240.666666666667,0.552698756270185
"Min","MFTAGt , MFTAGm , MFTHGm","Min",-1449.66666666667,0.549776688453159
