"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate","avgBets"
2.5,"MFTAGm","Low",-448.666666666667,0.534541062801932,75.6666666666667
2.5,"MFTAGm","Max",156.666666666667,0.689814814814815,10.3333333333333
2.5,"MFTAGm","Med",-346.333333333333,0.526739926739927,41.3333333333333
2.5,"MFTAGm","Min",-909,0.518434343434343,105.666666666667
2.5,"MFTAGm , MFTHGm","Low",-412.333333333333,0.56247699562917,103.666666666667
2.5,"MFTAGm , MFTHGm","Max",197.333333333333,0.7,16.6666666666667
2.5,"MFTAGm , MFTHGm","Med",-185.333333333333,0.596336996336996,58.6666666666667
2.5,"MFTAGm , MFTHGm","Min",-962.666666666667,0.534877957917174,149.666666666667
2.5,"MFTAGm , MFTHGm , OddO2.5","Low",-248.666666666667,0.520167644352427,185.333333333333
2.5,"MFTAGm , MFTHGm , OddO2.5","Max",421.333333333333,0.681382275132275,19.3333333333333
2.5,"MFTAGm , MFTHGm , OddO2.5","Med",-248,0.513299465085179,100.666666666667
2.5,"MFTAGm , MFTHGm , OddO2.5","Min",-636,0.516599350177782,271.666666666667
2.5,"MFTAGm , OddO2.5","Low",-941,0.487786596119929,176.333333333333
2.5,"MFTAGm , OddO2.5","Max",332,0.635119047619048,19.3333333333333
2.5,"MFTAGm , OddO2.5","Med",-608.666666666667,0.486982528053957,97
2.5,"MFTAGm , OddO2.5","Min",-1187.66666666667,0.492417758349131,257
2.5,"MFTAGt","Low",-422.333333333333,0.525960432482172,87.3333333333333
2.5,"MFTAGt","Max",-103.666666666667,0.592592592592593,13.3333333333333
2.5,"MFTAGt","Med",-416.333333333333,0.495665445665446,46.6666666666667
2.5,"MFTAGt","Min",-415,0.541991341991342,125.666666666667
2.5,"MFTAGt , MFTAGm","Low",-1118.66666666667,0.498501840349666,110.666666666667
2.5,"MFTAGt , MFTAGm","Max",-48.6666666666667,0.587632275132275,18.3333333333333
2.5,"MFTAGt , MFTAGm","Med",-545.666666666667,0.518424036281179,63
2.5,"MFTAGt , MFTAGm","Min",-1502.33333333333,0.495282658517953,161.333333333333
2.5,"MFTAGt , MFTAGm , MFTHGm","Low",-580.666666666667,0.541009604324822,123.666666666667
2.5,"MFTAGt , MFTAGm , MFTHGm","Max",-72.6666666666667,0.580357142857143,21.6666666666667
2.5,"MFTAGt , MFTAGm , MFTHGm","Med",-453.666666666667,0.532919065061922,69.3333333333333
2.5,"MFTAGt , MFTAGm , MFTHGm","Min",-864,0.534757236227824,181.333333333333
