"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate","avgBets"
"Min","MFTAGm","Low",-432.333333333333,0.482723194679716,40.6666666666667
"Min","MFTAGm","Max",-32.6666666666667,0.5625,8
"Min","MFTAGm","Med",-207.666666666667,0.541486291486291,26
"Min","MFTAGm","Min",-498.666666666667,0.502385366456557,56.3333333333333
"Min","MFTAGm , MFTHGm","Low",-964.333333333333,0.489613526570048,68.3333333333333
"Min","MFTAGm , MFTHGm","Max",41,0.605555555555556,13.3333333333333
"Min","MFTAGm , MFTHGm","Med",-119.333333333333,0.563522588522589,43
"Min","MFTAGm , MFTHGm","Min",-989.333333333333,0.485924502376708,96
"Min","MFTAGm , MFTHGm , OddO2.5","Low",-2031,0.33571716126064,96.3333333333333
"Min","MFTAGm , MFTHGm , OddO2.5","Max",-324.666666666667,0.421759259259259,10
"Min","MFTAGm , MFTHGm , OddO2.5","Med",-1217,0.347368306296878,50.6666666666667
"Min","MFTAGm , MFTHGm , OddO2.5","Min",-2146.66666666667,0.37279341029341,137
"Min","MFTAGm , OddO2.5","Low",-1307,0.341908866093649,83
"Min","MFTAGm , OddO2.5","Max",-97.6666666666667,0.472222222222222,5.66666666666667
"Min","MFTAGm , OddO2.5","Med",-932,0.330958922030351,41.6666666666667
"Min","MFTAGm , OddO2.5","Min",-1624.66666666667,0.357162552521008,119
"Min","MFTAGt","Low",-61.0000000000001,0.494675925925926,68
"Min","MFTAGt","Max",-269,0.411111111111111,12.6666666666667
"Min","MFTAGt","Med",-384.333333333333,0.463095238095238,45
"Min","MFTAGt","Min",-323.666666666667,0.47113834422658,83.6666666666667
"Min","MFTAGt , MFTAGm","Low",-422,0.475066137566138,79
"Min","MFTAGt , MFTAGm","Max",-104.666666666667,0.527579365079365,15.6666666666667
"Min","MFTAGt , MFTAGm","Med",-362,0.478623757195186,52.6666666666667
"Min","MFTAGt , MFTAGm","Min",-479.333333333333,0.484146825396825,105
"Min","MFTAGt , MFTAGm , MFTHGm","Low",-589.333333333333,0.524470899470899,93.6666666666667
"Min","MFTAGt , MFTAGm , MFTHGm","Max",-58.3333333333333,0.533134920634921,17.6666666666667
"Min","MFTAGt , MFTAGm , MFTHGm","Med",-50.3333333333334,0.553514739229025,59.3333333333333
"Min","MFTAGt , MFTAGm , MFTHGm","Min",-813,0.495968349460997,127
"Min","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Low",-1218,0.359586352657005,101
"Min","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Max",-179.333333333333,0.424537037037037,10.6666666666667
"Min","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Med",-605.666666666667,0.385090702947846,56
"Min","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Min",-1372.33333333333,0.375754392666157,140.333333333333
"Min","MFTAGt , MFTAGm , OddO2.5","Low",-727,0.388447492523579,96
"Min","MFTAGt , MFTAGm , OddO2.5","Max",-67.3333333333333,0.421296296296296,10.3333333333333
"Min","MFTAGt , MFTAGm , OddO2.5","Med",-623.666666666667,0.366444270015699,52
"Min","MFTAGt , MFTAGm , OddO2.5","Min",-1068.66666666667,0.390198421540333,134.333333333333
"Min","MFTAGt , MFTHGm","Low",-191,0.515121452621453,83.6666666666667
"Min","MFTAGt , MFTHGm","Max",-177.666666666667,0.458333333333333,14.3333333333333
"Min","MFTAGt , MFTHGm","Med",-68.3333333333334,0.508634222919937,51
"Min","MFTAGt , MFTHGm","Min",-474.666666666667,0.491355077384489,107.666666666667
"Min","MFTAGt , MFTHGm , OddO2.5","Low",-1104,0.369536461927766,100.666666666667
"Min","MFTAGt , MFTHGm , OddO2.5","Max",-89.3333333333333,0.494444444444444,9.33333333333333
"Min","MFTAGt , MFTHGm , OddO2.5","Med",-541,0.412412785627071,56.6666666666667
"Min","MFTAGt , MFTHGm , OddO2.5","Min",-1128.33333333333,0.393482443482443,137.666666666667
"Min","MFTAGt , MFTHGt","Low",-26.6666666666667,0.504133597883598,79
"Min","MFTAGt , MFTHGt","Max",-192.333333333333,0.422222222222222,15
"Min","MFTAGt , MFTHGt","Med",-302,0.465419501133787,52.6666666666667
