Campeonato,Temporada,MLucro,MAcuracia,NApostas
Ingles,20-21,609,0.791666666666667,22
Ingles,21-22,527,0.616666666666667,45
Ingles,22-23,592,0.761904761904762,40
Belga,20-21,876,1,17
Belga,21-22,181,0.659920634920635,34
Belga,22-23,556,0.844444444444444,17
Espanhol,20-21,479,0.546296296296296,26
Espanhol,21-22,1208,0.567391304347826,70
Espanhol,22-23,-223,0.565217391304348,43
Alemao,20-21,876,1,17
Alemao,21-22,181,0.659920634920635,34
Alemao,22-23,556,0.844444444444444,17
Frances,20-21,957,0.805555555555556,16
Frances,21-22,561,0.666666666666667,14
Frances,22-23,15,0.603571428571429,18
