jogo,Date,HomeTeam,AwayTeam,FTHG,FTHGb,FTAG,FTAGb,HS,HSb,AS,ASb,HST,HSTb,AST,ASTb,FTR,OddH,OddLayH,OddO2.5,OddU2.5,TotalGols
1,12/09/2020,Fulham,Arsenal,0,0,3,3,5,5,13,13,2,2,6,6,A,6,1.2,1.76,2.1,3
2,12/09/2020,Crystal Palace,Southampton,1,1,0,0,5,5,9,9,3,3,5,5,H,3.1,1.48,2.24,1.67,1
3,12/09/2020,Liverpool,Leeds,4,4,3,3,22,22,6,6,6,6,3,3,H,1.28,4.57,1.52,2.53,7
4,12/09/2020,West Ham,Newcastle,0,0,2,2,15,15,15,15,3,3,2,2,A,2.15,1.87,1.97,1.86,2
5,13/09/2020,West Brom,Leicester,0,0,3,3,7,7,13,13,1,1,7,7,A,3.8,1.36,1.92,1.9,3
6,13/09/2020,Tottenham,Everton,0,0,1,1,9,9,15,15,5,5,4,4,A,1.83,2.2,1.94,1.88,1
7,14/09/2020,Brighton,Chelsea,1,1,3,3,13,13,10,10,3,3,5,5,A,5,1.25,1.76,2.08,4
8,14/09/2020,Sheffield United,Wolves,0,0,2,2,9,9,11,11,2,2,4,4,A,3.25,1.44,2.68,1.48,2
9,19/09/2020,Everton,West Brom,5,5,2,2,17,17,6,6,7,7,4,4,H,1.5,3,1.81,2.03,7
10,19/09/2020,Leeds,Fulham,4,4,3,3,10,10,14,14,7,7,6,6,H,1.61,2.64,1.93,1.91,7
11,19/09/2020,Man United,Crystal Palace,1,1,3,3,13,13,14,14,4,4,5,5,A,1.3,4.33,1.66,2.24,4
12,19/09/2020,Arsenal,West Ham,2,2,1,1,7,7,14,14,3,3,3,3,H,1.53,2.89,1.64,2.3,3
13,20/09/2020,Southampton,Tottenham,2,2,5,5,14,14,9,9,7,7,6,6,A,3,1.5,1.97,1.87,7
14,20/09/2020,Newcastle,Brighton,0,0,3,3,6,6,13,13,0,0,6,6,A,2.6,1.62,2.38,1.59,3
15,20/09/2020,Chelsea,Liverpool,0,0,2,2,5,5,18,18,3,3,6,6,A,3.1,1.48,1.61,2.35,2
16,20/09/2020,Leicester,Burnley,4,4,2,2,14,14,16,16,6,6,5,5,H,1.61,2.64,1.95,1.88,6
17,21/09/2020,Aston Villa,Sheffield United,1,1,0,0,18,18,4,4,2,2,1,1,H,2.7,1.59,2.25,1.66,1
18,21/09/2020,Wolves,Man City,1,1,3,3,10,10,14,14,1,1,9,9,A,6.5,1.18,1.7,2.18,4
19,26/09/2020,Brighton,Man United,2,2,3,3,18,18,7,7,5,5,3,3,A,4.75,1.27,1.86,1.97,5
20,26/09/2020,Crystal Palace,Everton,1,1,2,2,8,8,10,10,1,1,5,5,A,3.75,1.36,2.16,1.71,3
21,26/09/2020,West Brom,Chelsea,3,3,3,3,9,9,22,22,3,3,10,10,D,9,1.12,1.64,2.28,6
22,26/09/2020,Burnley,Southampton,0,0,1,1,10,10,5,5,2,2,1,1,A,3.2,1.45,2.09,1.75,1
23,27/09/2020,Sheffield United,Leeds,0,0,1,1,14,14,17,17,4,4,9,9,A,2.7,1.59,2,1.83,1
24,27/09/2020,Tottenham,Newcastle,1,1,1,1,23,23,6,6,12,12,1,1,D,1.45,3.22,1.75,2.1,2
25,27/09/2020,Man City,Leicester,2,2,5,5,16,16,7,7,5,5,7,7,A,1.28,4.57,1.41,2.9,7
26,27/09/2020,West Ham,Wolves,4,4,0,0,15,15,11,11,7,7,2,2,H,3.6,1.38,2.13,1.73,4
27,28/09/2020,Fulham,Aston Villa,0,0,3,3,16,16,12,12,3,3,5,5,A,2.9,1.53,2.07,1.76,3
28,28/09/2020,Liverpool,Arsenal,3,3,1,1,21,21,4,4,8,8,3,3,H,1.45,3.22,1.54,2.48,4
